Name,Team,Role,Matches,Runs,Average,SR,Wickets,Age
Kedar Jadhav,SRH,ALL ROUNDER,87,1141,22.82,124.16,0,27
Dwayne Bravo,CSK,ALL ROUNDER,140,1490,22.58,128.23,153,33
Abdul Samad,SRH,BATSMAN,12,111,22.2,170.77,1,33
Glenn Maxwell,RCB,ALL ROUNDER,82,1505,22.13,154.68,19,33
Mandeep Singh,PBKS,BATSMAN,104,1659,22.12,124.27,0,33
Prithvi Shaw,DC,BATSMAN,38,826,21.74,139.76,0,24
Ben Cutting,KKR,ALL ROUNDER,21,238,21.64,168.79,10,24
Shakib Al Hasan,KKR,ALL ROUNDER,63,746,21.31,126.66,59,24
Mayank Agarwal,PBKS,BATSMAN,88,1694,21.18,134.55,0,33
Shimron Hetmyer,DC,BATSMAN,17,275,21.15,138.89,0,33
Moeen Ali,CSK,ALL ROUNDER,19,309,20.6,158.46,10,33
Cheteshwar Pujara,CSK,BATSMAN,30,390,20.53,99.74,0,33
Riyan Parag,RR,BATSMAN,19,246,20.5,121.18,2,33
Josh Philippe,RCB,WICKET KEEPER,5,78,19.5,101.3,0,33
Sheldon Jackson,KKR,WICKET KEEPER,4,38,19.0,122.58,0,33
Axar Patel,DC,ALL ROUNDER,97,913,18.26,127.69,80,26
Abhishek Sharma,SRH,ALL ROUNDER,14,143,17.88,145.92,3,22
Sam Billings,DC,WICKET KEEPER,22,334,17.58,133.6,0,22
Mahipal Lomror,RR,ALL ROUNDER,7,87,17.4,111.54,0,33
Mitchell Marsh,SRH,ALL ROUNDER,21,225,17.31,114.21,20,33
Pat Cummins,KKR,BOWLER,30,223,17.15,131.95,29,33
Daniel Christian,RCB,ALL ROUNDER,40,446,17.15,119.25,34,33
Sachin Baby,RCB,BATSMAN,18,137,17.12,135.64,2,33
Washington Sundar,RCB,ALL ROUNDER,36,186,16.91,125.68,24,24
Shivam Dube,RR,ALL ROUNDER,15,169,16.9,122.46,4,24
Deepak Hooda,PBKS,ALL ROUNDER,68,625,16.89,129.4,7,24
Sunil Narine,KKR,BOWLER,120,892,16.83,164.27,127,33
N Jagadeesan,CSK,WICKET KEEPER,5,33,16.5,113.79,0,23
Mohammad Nabi,SRH,ALL ROUNDER,14,146,16.22,147.47,11,21
Karn Sharma,CSK,BOWLER,68,317,15.1,115.69,59,33
Harbhajan Singh,KKR,BOWLER,160,829,15.07,138.17,150,33
Jofra Archer,RR,BOWLER,35,195,15.0,157.26,46,33
Jason Holder,SRH,ALL ROUNDER,18,104,14.86,123.81,19,33
Priyam Garg,SRH,BATSMAN,14,133,14.78,119.82,0,33
Shreevats Goswami,SRH,WICKET KEEPER,31,293,14.65,99.32,0,33
Navdeep Saini,RCB,BOWLER,26,29,14.5,93.55,17,33
Krishnappa Gowtham,CSK,ALL ROUNDER,24,186,14.31,169.09,13,33
Aditya Tare,MI,WICKET KEEPER,35,339,14.12,124.18,0,33
